Match ID,Home Team,Away Team,Home Score,Away Score,Player Rating,Goals,Assists,Shots on Target,Shots off Target,Big Chances Created,Big Chances Missed,Key Passes,Touches,Duels Won,Duels Lost,xG,xA
12436475,Brighton & Hove Albion,Brentford,0,0,6.7,0,0,0,1,0,0,1,45,3,4,0.0368,0.0665884
12436463,Brentford,Nottingham Forest,0,2,8.2,0,0,1,0,1,0,3,77,7,5,0.0686,0.513043
12436461,Chelsea,Brentford,2,1,7.4,1,0,2,0,0,1,1,42,8,10,0.5345,0.0650022
12436450,Brentford,Newcastle United,4,2,8.5,1,1,2,1,1,1,3,61,5,4,0.3765,0.359762
12436942,Aston Villa,Brentford,3,1,7.4,0,0,0,0,0,0,2,46,5,4,0.0,0.206789
