Match ID,Home Team,Away Team,Home Score,Away Score,Player Rating,Goals,Assists,Shots on Target,Shots off Target,Big Chances Created,Big Chances Missed,Key Passes,Touches,Duels Won,Duels Lost,xG,xA
12436512,Leicester City,Manchester City,0,2,8.2,1,0,3,2,0,0,2,31,6,2,0.8718,0.127579
12436481,Manchester City,Everton,1,1,6.5,0,0,1,0,0,1,2,22,4,3,0.8168,0.0473906
12436453,Aston Villa,Manchester City,2,1,6.6,0,0,0,1,0,0,0,18,2,2,0.1133,0.042773
12436451,Manchester City,Manchester United,1,2,6.8,0,0,0,0,0,0,1,21,4,5,0.1404,0.0103634
12436445,Crystal Palace,Manchester City,2,2,7.0,1,0,2,0,0,1,0,20,2,1,0.689,0.115559
