Match ID,Home Team,Away Team,Home Score,Away Score,Player Rating,Goals,Assists,Shots on Target,Shots off Target,Big Chances Created,Big Chances Missed,Key Passes,Touches,Duels Won,Duels Lost,xG,xA
12436513,West Ham United,Liverpool,0,5,8.8,1,2,4,3,3,4,4,55,3,2,1.7813,0.276092
12436474,Liverpool,Leicester City,3,1,8.7,1,0,3,1,0,0,2,57,2,2,0.6331,0.402482
12436471,Tottenham Hotspur,Liverpool,3,6,9.4,2,2,3,2,3,1,3,32,2,6,2.3781,0.143777
12436446,Liverpool,Fulham,2,2,7.3,0,1,0,3,1,0,1,52,4,5,0.221,0.369755
12436978,Newcastle United,Liverpool,3,3,9.1,2,1,2,1,0,0,3,50,2,5,0.677,0.242431
