Match ID,Home Team,Away Team,Home Score,Away Score,Player Rating,Goals,Assists,Shots on Target,Shots off Target,Big Chances Created,Big Chances Missed,Key Passes,Touches,Duels Won,Duels Lost,xG,xA
12436521,Tottenham Hotspur,Wolverhampton,2,2,7.9,1,0,1,0,0,0,0,18,3,0,0.1456,0.017405
12436479,Nottingham Forest,Tottenham Hotspur,1,0,6.9,0,0,3,0,0,1,1,56,5,8,0.3907,0.0460259
12436471,Tottenham Hotspur,Liverpool,3,6,7.1,0,1,1,0,1,0,1,19,0,2,0.1303,0.253759
12436458,Southampton,Tottenham Hotspur,0,5,6.4,0,0,0,1,0,1,0,19,2,1,0.428,0.0
12436441,Tottenham Hotspur,Chelsea,3,4,7.5,0,1,0,0,1,0,1,14,3,0,0.0,0.163943
