Match ID,Home Team,Away Team,Home Score,Away Score,Player Rating,Goals,Assists,Shots on Target,Shots off Target,Big Chances Created,Big Chances Missed,Key Passes,Touches,Duels Won,Duels Lost,xG,xA
12436521,Tottenham Hotspur,Wolverhampton,2,2,6.9,0,0,0,2,0,0,0,43,5,2,0.099,0.0412326
12436482,Wolverhampton,Manchester United,2,0,8.9,1,1,2,0,1,0,1,93,14,9,0.0411,0.374298
12436469,Leicester City,Wolverhampton,0,3,7.8,1,0,1,1,1,0,3,76,5,11,0.1539,0.306815
12436456,Wolverhampton,Ipswich Town,1,2,8.3,1,0,3,1,0,0,2,63,8,6,0.4084,0.122646
12436454,West Ham United,Wolverhampton,2,1,7.1,0,0,1,1,0,0,4,53,4,6,0.044,0.24682
