Match ID,Home Team,Away Team,Home Score,Away Score,Player Rating,Goals,Assists,Shots on Target,Shots off Target,Big Chances Created,Big Chances Missed,Key Passes,Touches,Duels Won,Duels Lost,xG,xA
12436521,Tottenham Hotspur,Wolverhampton,2,2,6.4,0,0,1,0,0,1,1,28,2,0,0.0692,0.0209633
12436479,Nottingham Forest,Tottenham Hotspur,1,0,7.4,0,0,1,1,0,0,3,53,5,2,0.1975,0.0832837
12436471,Tottenham Hotspur,Liverpool,3,6,6.3,0,0,0,1,0,0,0,36,1,2,0.0273,0.0925361
12436458,Southampton,Tottenham Hotspur,0,5,9.3,1,2,4,2,2,0,3,31,0,5,0.3712,0.29995
12436441,Tottenham Hotspur,Chelsea,3,4,7.3,1,0,2,2,2,2,2,46,2,4,1.0822,0.465207
