Match ID,Home Team,Away Team,Home Score,Away Score,Player Rating,Goals,Assists,Shots on Target,Shots off Target,Big Chances Created,Big Chances Missed,Key Passes,Touches,Duels Won,Duels Lost,xG,xA
12436477,Newcastle United,Aston Villa,3,0,8.1,1,0,1,1,0,0,2,46,2,6,0.1083,0.182498
12436467,Ipswich Town,Newcastle United,0,4,7.1,0,1,1,2,0,2,3,54,6,3,0.4273,0.489334
12436460,Newcastle United,Leicester City,4,0,8.0,0,1,1,0,0,0,5,62,6,7,0.0941,0.410797
12436450,Brentford,Newcastle United,4,2,7.0,0,0,1,1,0,0,1,18,2,1,0.064,0.0488723
12436978,Newcastle United,Liverpool,3,3,8.1,1,0,2,1,1,1,3,55,9,4,0.7753,0.136152
