Match ID,Home Team,Away Team,Home Score,Away Score,Player Rating,Goals,Assists,Shots on Target,Shots off Target,Big Chances Created,Big Chances Missed,Key Passes,Touches,Duels Won,Duels Lost,xG,xA
12436464,Crystal Palace,Arsenal,1,5,6.5,0,0,0,0,0,0,0,6,0,0,0.0,0.0
12436438,Arsenal,Everton,0,0,8.3,0,0,1,0,1,0,3,78,11,3,0.3318,0.560256
12436459,Fulham,Arsenal,1,1,7.5,0,0,1,1,1,0,1,71,7,9,0.0944,0.112243
12436935,Arsenal,Manchester United,2,0,7.5,0,0,1,0,1,0,3,45,6,9,0.1281,0.163878
12436914,West Ham United,Arsenal,2,5,9.2,1,2,1,1,2,0,4,51,5,8,0.8679,1.1112
