Match ID,Home Team,Away Team,Home Score,Away Score,Player Rating,Goals,Assists,Shots on Target,Shots off Target,Big Chances Created,Big Chances Missed,Key Passes,Touches,Duels Won,Duels Lost,xG,xA
12436471,Tottenham Hotspur,Liverpool,3,6,9.4,2,2,3,2,3,1,3,32,2,6,2.3781,0.143777
12436446,Liverpool,Fulham,2,2,7.3,0,1,0,3,1,0,1,52,4,5,0.221,0.369755
12436978,Newcastle United,Liverpool,3,3,9.1,2,1,2,1,0,0,3,50,2,5,0.677,0.242431
12436504,Liverpool,Manchester City,2,0,7.9,1,1,1,2,1,1,1,29,3,4,1.3512,0.522646
12436506,Southampton,Liverpool,2,3,8.2,2,0,4,3,0,3,1,46,4,4,1.8619,0.159145
